"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom"
"ABELI","","ABELI","Abelia","","Abelia","","","","","","","","","","","","","R. Br.","","","","","abelia","Dicot","Abelia","Caprifoliaceae","Dipsacales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABELM","","ABELM","Abelmoschus","","Abelmoschus","","","","","","","","","","","","","Medik.","","","","","okra","Dicot","Abelmoschus","Malvaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIES","","ABIES","Abies","","Abies","","","","","","","","","","","","","Mill.","","","","","fir","Gymnosperm","Abies","Pinaceae","Pinales","","Pinopsida","","Coniferophyta","Spermatophyta","Tracheobionta","Plantae"
"ABIET","","ABIET","Abietinella","","Abietinella","","","","","","","","","","","","","Müll. Hal.","","","","","abietenella moss","Moss","Abietinella","Thuidiaceae","Hypnales","Bryidae","Bryopsida","Musci","Bryophyta","","","Plantae"
"ABILD","","ABILD","Abildgaardia","","Abildgaardia","","","","","","","","","","","","","Vahl","","","","","sedge","Monocot","Abildgaardia","Cyperaceae","Cyperales","Commelinidae","Liliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABROM","","ABROM","Abroma","","Abroma","","","","","","","","","","","","","Jacq.","","","","","","","Abroma","Sterculiaceae","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABRON","","ABRON","Abronia","","Abronia","","","","","","","","","","","","","Juss.","","","","","sand verbena","Dicot","Abronia","Nyctaginaceae","Caryophyllales","Caryophyllidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae"
"ABROT","","ABROT","Abrothallus","","Abrothallus","","","","","","","","","","","","","De Not.","","","","","abrothallus lichen","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABBE2","","ABBE2","Abrothallus bertianus","","Abrothallus","","bertianus","","","","","","","","","","","De Not.","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
"ABBR3","","ABBR3","Abrothallus bryoriarum","","Abrothallus","","bryoriarum","","","","","","","","","","","Hafellner","","","","","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","Fungi"
