"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","PLANTS Floristic Area","State and Province","Category","Genus","Family","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Duration","Growth Habit","Native Status","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status","National Wetland Indicator Status","Image Gallery","Fact Sheets","Plant Guides","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABBE2","","ABBE2","Abrothallus bertianus","","Abrothallus","","bertianus","","","","","","","","","","","De Not.","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABBR3","","ABBR3","Abrothallus bryoriarum","","Abrothallus","","bryoriarum","","","","","","","","","","","Hafellner","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABCE","","ABCE","Abrothallus cetrariae","","Abrothallus","","cetrariae","","","","","","","","","","","Kotte","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABCL","","ABCL","Abrothallus cladoniae","","Abrothallus","","cladoniae","","","","","","","","","","","R. Sant. & D. Hawksw.","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPA5","","ABPA5","Abrothallus parmeliarum","","Abrothallus","","parmeliarum","","","","","","","","","","","(Sommerf.) Arnold","","","","","parmelia abrothallus lichen","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPE2","","ABPE2","Abrothallus peyritschii","","Abrothallus","","peyritschii","","","","","","","","","","","(Stein) Kotte","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABPR5","","ABPR5","Abrothallus prodiens","","Abrothallus","","prodiens","","","","","","","","","","","(Harm.) Diederich & Hafellner","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABWE","","ABWE","Abrothallus welwitschii","","Abrothallus","","welwitschii","","","","","","","","","","","Tul.","","","","","","NA (L48)","","Lichen","Abrothallus","Uncertain Ascomycota Family","Uncertain Ascomycota Order","","Uncertain Ascomycota Class","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABSP","","ABSP","Absconditella sphagnorum","","Absconditella","","sphagnorum","","","","","","","","","","","Vezda & Poelt","","","","","sphagnum absonditella lichen","NA (L48)","","Lichen","Absconditella","Stictidaceae","Ostropales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABTR3","","ABTR3","Absconditella trivialis","","Absconditella","","trivialis","","","","","","","","","","","(Willey ex Tuck.) Vezda","","","","","trivial absconditella lichen","NA (L48)","","Lichen","Absconditella","Stictidaceae","Ostropales","","Ascomycetes","","Ascomycota","","","","Lichenous","NA(N)","","","","","","","","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
