"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category","Genus","Family","Order","Class","Division","Kingdom"
"ABELI","","ABELI","Abelia","","Abelia","","","","","","","","","","","","","R. Br.","","","","","abelia","Dicot","Abelia","Caprifoliaceae","Dipsacales","Magnoliopsida","Magnoliophyta","Plantae"
"ABGR4","","ABGR4","Abelia ×grandiflora","","Abelia","×","grandiflora","","","","","","","","","","","(Rovelli ex André) Rehder","","","","chinensis × uniflora","glossy abelia","Dicot","Abelia","Caprifoliaceae","Dipsacales","Magnoliopsida","Magnoliophyta","Plantae"
"ABELM","","ABELM","Abelmoschus","","Abelmoschus","","","","","","","","","","","","","Medik.","","","","","okra","Dicot","Abelmoschus","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABES","","ABES","Abelmoschus esculentus","","Abelmoschus","","esculentus","","","","","","","","","","","(L.) Moench","","","","","okra","Dicot","Abelmoschus","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMA9","","ABMA9","Abelmoschus manihot","","Abelmoschus","","manihot","","","","","","","","","","","(L.) Medik. [excluded]","","","","","","Dicot","Abelmoschus","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABMO","","ABMO","Abelmoschus moschatus","","Abelmoschus","","moschatus","","","","","","","","","","","Medik.","","","","","musk okra","Dicot","Abelmoschus","Malvaceae","Malvales","Magnoliopsida","Magnoliophyta","Plantae"
"ABIES","","ABIES","Abies","","Abies","","","","","","","","","","","","","Mill.","","","","","fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABAL3","","ABAL3","Abies alba","","Abies","","alba","","","","","","","","","","","Mill.","","","","","silver fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABAM","","ABAM","Abies amabilis","","Abies","","amabilis","","","","","","","","","","","(Douglas ex Loudon) Douglas ex Forbes","","","","","Pacific silver fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABBA","","ABBA","Abies balsamea","","Abies","","balsamea","","","","","","","","","","","(L.) Mill.","","","","","balsam fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABBAB","","ABBAB","Abies balsamea var. balsamea","","Abies","","balsamea","","","","var.","","balsamea","","","","","(L.) Mill.","(L.) Mill.","","","","balsam fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABBAP","","ABBAP","Abies balsamea var. phanerolepis","","Abies","","balsamea","","","","var.","","phanerolepis","","","","","(L.) Mill.","Fernald","","","","balsam fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABBR","","ABBR","Abies bracteata","","Abies","","bracteata","","","","","","","","","","","(D. Don) D. Don ex Poit.","","","","","bristlecone fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABCO","","ABCO","Abies concolor","","Abies","","concolor","","","","","","","","","","","(Gord. & Glend.) Lindl. ex Hildebr.","","","","","white fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABFI","","ABFI","Abies firma","","Abies","","firma","","","","","","","","","","","Siebold & Zucc.","","","","","Momi fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABFR","","ABFR","Abies fraseri","","Abies","","fraseri","","","","","","","","","","","(Pursh) Poir.","","","","","Fraser fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABGR","","ABGR","Abies grandis","","Abies","","grandis","","","","","","","","","","","(Douglas ex D. Don) Lindl.","","","","","grand fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABGU","","ABGU","Abies guatemalensis","","Abies","","guatemalensis","","","","","","","","","","","Rehder","","","","","Guatemalan fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABHO","","ABHO","Abies homolepis","","Abies","","homolepis","","","","","","","","","","","Siebold & Zucc.","","","","","Nikko fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABLA","","ABLA","Abies lasiocarpa","","Abies","","lasiocarpa","","","","","","","","","","","(Hook.) Nutt.","","","","","subalpine fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","","Abies","","lasiocarpa","","","","var.","","arizonica","","","","","(Hook.) Nutt.","(Merriam) Lemmon","","","","corkbark fir","Gymnosperm","Abies","Pinaceae","Pinales","Pinopsida","Coniferophyta","Plantae"
