"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","Category"
"ABBE2","","ABBE2","Abrothallus bertianus","","Abrothallus","","bertianus","","","","","","","","","","","De Not.","","","","","","Lichen"
"ABBR3","","ABBR3","Abrothallus bryoriarum","","Abrothallus","","bryoriarum","","","","","","","","","","","Hafellner","","","","","","Lichen"
"ABCE","","ABCE","Abrothallus cetrariae","","Abrothallus","","cetrariae","","","","","","","","","","","Kotte","","","","","","Lichen"
"ABCL","","ABCL","Abrothallus cladoniae","","Abrothallus","","cladoniae","","","","","","","","","","","R. Sant. & D. Hawksw.","","","","","","Lichen"
"ABPA5","","ABPA5","Abrothallus parmeliarum","","Abrothallus","","parmeliarum","","","","","","","","","","","(Sommerf.) Arnold","","","","","parmelia abrothallus lichen","Lichen"
"ABPE2","","ABPE2","Abrothallus peyritschii","","Abrothallus","","peyritschii","","","","","","","","","","","(Stein) Kotte","","","","","","Lichen"
"ABPR5","","ABPR5","Abrothallus prodiens","","Abrothallus","","prodiens","","","","","","","","","","","(Harm.) Diederich & Hafellner","","","","","","Lichen"
"ABWE","","ABWE","Abrothallus welwitschii","","Abrothallus","","welwitschii","","","","","","","","","","","Tul.","","","","","","Lichen"
"ABSP","","ABSP","Absconditella sphagnorum","","Absconditella","","sphagnorum","","","","","","","","","","","Vezda & Poelt","","","","","sphagnum absonditella lichen","Lichen"
"ABTR3","","ABTR3","Absconditella trivialis","","Absconditella","","trivialis","","","","","","","","","","","(Willey ex Tuck.) Vezda","","","","","trivial absconditella lichen","Lichen"
"ACAB2","","ACAB2","Acacia abyssinica","","Acacia","","abyssinica","","","","","","","","","","","Hochst. ex Benth.","","","","","","Dicot"
"ACAN4","","ACAN4","Acacia anegadensis","","Acacia","","anegadensis","","","","","","","","","","","Britton [excluded]","","","","","blackbrush wattle","Dicot"
"ACAN","","ACAN","Acacia angustissima","","Acacia","","angustissima","","","","","","","","","","","(Mill.) Kuntze","","","","","prairie acacia","Dicot"
"ACAR12","","ACAR12","Acacia arenaria","","Acacia","","arenaria","","","","","","","","","","","Schinz","","","","","","Dicot"
"ACBE","","ACBE","Acacia berlandieri","","Acacia","","berlandieri","","","","","","","","","","","Benth.","","","","","guajillo","Dicot"
"ACCA21","","ACCA21","Acacia catechu","","Acacia","","catechu","","","","","","","","","","","(L. f.) Willd. [excluded]","","","","","black cutch","Dicot"
"ACCA35","","ACCA35","Acacia caven","","Acacia","","caven","","","","","","","","","","","(Molina) Molina","","","","","Roman-cassie","Dicot"
"ACCH","","ACCH","Acacia choriophylla","","Acacia","","choriophylla","","","","","","","","","","","Benth.","","","","","cinnecord","Dicot"
"ACCO24","","ACCO24","Acacia collinsii","","Acacia","","collinsii","","","","","","","","","","","Saff.","","","","","bull horn acacia","Dicot"
"ACCO2","","ACCO2","Acacia constricta","","Acacia","","constricta","","","","","","","","","","","Benth.","","","","","whitethorn acacia","Dicot"
"ACCO5","","ACCO5","Acacia cornigera","","Acacia","","cornigera","","","","","","","","","","","(L.) Willd.","","","","","bullhorn wattle","Dicot"
"ACDA5","","ACDA5","Acacia davyi","","Acacia","","davyi","","","","","","","","","","","N.E. Br.","","","","","","Dicot"
"ACEB2","","ACEB2","Acacia eburnea","","Acacia","","eburnea","","","","","","","","","","","(L. f.) Willd.","","","","","","Dicot"
"ACER5","","ACER5","Acacia erubescens","","Acacia","","erubescens","","","","","","","","","","","Welw. ex Oliv.","","","","","","Dicot"
"ACFA","","ACFA","Acacia farnesiana","","Acacia","","farnesiana","","","","","","","","","","","(L.) Willd.","","","","","sweet acacia","Dicot"
"ACGA3","","ACGA3","Acacia galpinii","","Acacia","","galpinii","","","","","","","","","","","Burtt Davy","","","","","","Dicot"
"ACGE7","","ACGE7","Acacia gerrardii","","Acacia","","gerrardii","","","","","","","","","","","Benth.","","","","","","Dicot"
"ACGL4","","ACGL4","Acacia glauca","","Acacia","","glauca","","","","","","","","","","","(L.) Moench","","","","","acacia","Dicot"
"ACGO2","","ACGO2","Acacia goetzei","","Acacia","","goetzei","","","","","","","","","","","Harms","","","","","","Dicot"
"ACGR","","ACGR","Acacia greggii","","Acacia","","greggii","","","","","","","","","","","A. Gray","","","","","catclaw acacia","Dicot"
"ACHE8","","ACHE8","Acacia hebeclada","","Acacia","","hebeclada","","","","","","","","","","","DC.","","","","","","Dicot"
"ACHO4","","ACHO4","Acacia horrida","","Acacia","","horrida","","","","","","","","","","","(L.) Willd.","","","","","","Dicot"
"ACKA2","","ACKA2","Acacia karroo","","Acacia","","karroo","","","","","","","","","","","Hayne","","","","","karroothorn","Dicot"
"ACMA","","ACMA","Acacia macracantha","","Acacia","","macracantha","","","","","","","","","","","Humb. & Bonpl. ex Willd.","","","","","porknut","Dicot"
"ACME8","","ACME8","Acacia mellifera","","Acacia","","mellifera","","","","","","","","","","","(Vahl) Benth.","","","","","","Dicot"
"ACMI","","ACMI","Acacia millefolia","","Acacia","","millefolia","","","","","","","","","","","S. Watson","","","","","milfoil wattle","Dicot"
"ACMU","","ACMU","Acacia muricata","","Acacia","","muricata","","","","","","","","","","","(L.) Willd.","","","","","spineless wattle","Dicot"
"ACNE4","","ACNE4","Acacia neovernicosa","","Acacia","","neovernicosa","","","","","","","","","","","Isely","","","","","viscid acacia","Dicot"
"ACNI8","","ACNI8","Acacia nigrescens","","Acacia","","nigrescens","","","","","","","","","","","Oliv.","","","","","knobthorn","Dicot"
"ACNI2","","ACNI2","Acacia nilotica","","Acacia","","nilotica","","","","","","","","","","","(L.) Willd. ex Delile","","","","","gum arabic tree","Dicot"
"ACPA15","","ACPA15","Acacia pachyceras","","Acacia","","pachyceras","","","","","","","","","","","Sw.","","","","","","Dicot"
"ACPE9","","ACPE9","Acacia pennatula","","Acacia","","pennatula","","","","","","","","","","","(Schltdl. & Cham.) Benth.","","","","","fern-leaf acacia","Dicot"
"ACPE11","","ACPE11","Acacia pentagona","","Acacia","","pentagona","","","","","","","","","","","(Schumach. & Thonn.) Hook. f.","","","","","","Dicot"
"ACPI","","ACPI","Acacia pinetorum","","Acacia","","pinetorum","","","","","","","","","","","F.J. Herm.","","","","","pineland wattle","Dicot"
"ACPO3","","ACPO3","Acacia polyacantha","","Acacia","","polyacantha","","","","","","","","","","","Willd.","","","","","catechu tree","Dicot"
"ACRE8","","ACRE8","Acacia rehmanniana","","Acacia","","rehmanniana","","","","","","","","","","","Schinz","","","","","acacia","Dicot"
"ACRE4","","ACRE4","Acacia retusa","","Acacia","","retusa","","","","","","","","","","","(Jacq.) Howard","","","","","catch and keep","Dicot"
"ACRI","","ACRI","Acacia rigidula","","Acacia","","rigidula","","","","","","","","","","","Benth.","","","","","blackbrush acacia","Dicot"
"ACRO5","","ACRO5","Acacia robusta","","Acacia","","robusta","","","","","","","","","","","Burch.","","","","","","Dicot"
"ACRO","","ACRO","Acacia roemeriana","","Acacia","","roemeriana","","","","","","","","","","","Scheele","","","","","roundflower catclaw","Dicot"
"ACSC2","","ACSC2","Acacia schaffneri","","Acacia","","schaffneri","","","","","","","","","","","(S. Watson) F.J. Herm.","","","","","Schaffner's wattle","Dicot"
"ACSC","","ACSC","Acacia schottii","","Acacia","","schottii","","","","","","","","","","","Torr.","","","","","Schott's wattle","Dicot"
"ACSC9","","ACSC9","Acacia schweinfurthii","","Acacia","","schweinfurthii","","","","","","","","","","","Brenan & Exell","","","","","","Dicot"
"ACSC12","","ACSC12","Acacia scleroxyla","","Acacia","","scleroxyla","","","","","","","","","","","Tussac [excluded]","","","","","","Dicot"
"ACSE6","","ACSE6","Acacia senegal","","Acacia","","senegal","","","","","","","","","","","(L.) Willd.","","","","","gum arabic","Dicot"
"ACSE7","","ACSE7","Acacia seyal","","Acacia","","seyal","","","","","","","","","","","Delile","","","","","talh","Dicot"
"ACSI7","","ACSI7","Acacia sieberiana","","Acacia","","sieberiana","","","","","","","","","","","DC.","","","","","","Dicot"
