"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"ABELI","","ABELI","Abelia","abelia","","","","",""
"ABGR4","","ABGR4","Abelia ×grandiflora","glossy abelia","","","","",""
"ABELM","","ABELM","Abelmoschus","okra","","","","",""
"ABES","","ABES","Abelmoschus esculentus","okra","","","SWSS","",""
"ABMA9","","ABMA9","Abelmoschus manihot","","","","","",""
"ABMO","","ABMO","Abelmoschus moschatus","musk okra","","","","",""
"ABIES","","ABIES","Abies","fir","","","","",""
"ABAL3","","ABAL3","Abies alba","silver fir","","","","",""
"ABAM","","ABAM","Abies amabilis","Pacific silver fir","","","","",""
"ABBA","","ABBA","Abies balsamea","balsam fir","","","","","CT(E)"
"ABBAB","","ABBAB","Abies balsamea var. balsamea","balsam fir","","","","",""
"ABBAP","","ABBAP","Abies balsamea var. phanerolepis","balsam fir","","","","",""
"ABBR","","ABBR","Abies bracteata","bristlecone fir","","","","",""
"ABCO","","ABCO","Abies concolor","white fir","","","","","NV(CY)"
"ABFI","","ABFI","Abies firma","Momi fir","","","","",""
"ABFR","","ABFR","Abies fraseri","Fraser fir","","","","","TN(T)"
"ABGR","","ABGR","Abies grandis","grand fir","","","","",""
"ABGU","","ABGU","Abies guatemalensis","Guatemalan fir","","","","T",""
"ABHO","","ABHO","Abies homolepis","Nikko fir","","","","",""
"ABLA","","ABLA","Abies lasiocarpa","subalpine fir","","","","",""
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","corkbark fir","","","","",""
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","subalpine fir","","","","","NV ()"
"ABLO","","ABLO","Abies lowiana","Sierra white fir","","","","","NV(CY)"
"ABMA","","ABMA","Abies magnifica","California red fir","","","","","NV(CY)"
"ABMAM","","ABMAM","Abies magnifica var. magnifica","California red fir","","","","",""
"ABMAS","","ABMAS","Abies magnifica var. shastensis","Shasta red fir","","","","",""
"ABPR","","ABPR","Abies procera","noble fir","","","","",""
"ABVE2","","ABVE2","Abies veitchii","Christmastree","","","","",""
"ABIET","","ABIET","Abietinella","abietenella moss","","","","",""
"ABAB70","","ABAB70","Abietinella abietina","abietinella moss","","","","",""
"ABILD","","ABILD","Abildgaardia","sedge","","","","",""
"ABOV","","ABOV","Abildgaardia ovata","flatspike sedge","","","","",""
"ABROM","","ABROM","Abroma","","","","","",""
"ABAU3","","ABAU3","Abroma augustum","devil's-cotton","","","","",""
"ABRON","","ABRON","Abronia","sand verbena","","","","",""
"ABAL","","ABAL","Abronia alpina","Ramshaw Meadows sand verbena","","","","",""
"ABAM2","","ABAM2","Abronia ameliae","Amelia's sand verbena","","","","",""
"ABAM3","","ABAM3","Abronia ammophila","Wyoming sand verbena","","","","",""
"ABAN","","ABAN","Abronia angustifolia","purple sand verbena","","","","",""
"ABAR","","ABAR","Abronia argillosa","clay sand verbena","","","","",""
"ABBI","","ABBI","Abronia bigelovii","Galisteo sand verbena","","","","",""
"ABBO","","ABBO","Abronia bolackii","Bolack's sand verbena","","","","",""
"ABCA","","ABCA","Abronia carletonii","Carleton's sand verbena","","","","",""
"ABEL","","ABEL","Abronia elliptica","fragrant white sand verbena","","","","",""
"ABFR2","","ABFR2","Abronia fragrans","snowball sand verbena","","","","",""
"ABGR2","","ABGR2","Abronia gracilis","slender sand verbena","","","","",""
"ABIN2","","ABIN2","Abronia insularis","island sand verbena","","","","",""
"ABLA2","","ABLA2","Abronia latifolia","coastal sand verbena","","","","",""
"ABMA5","","ABMA5","Abronia macrocarpa","largefruit sand verbena","","","","E"," (E)TX(E)"
"ABMA2","","ABMA2","Abronia maritima","red sand verbena","","","","",""
"ABME","","ABME","Abronia mellifera","white sand verbena","","","","",""
"ABMI2","","ABMI2","Abronia minor","little sand verbena","","","","",""
"ABNA","","ABNA","Abronia nana","dwarf sand verbena","","","","",""
"ABNAC","","ABNAC","Abronia nana var. covillei","Coville's dwarf sand verbena","","","","",""
"ABNAH","","ABNAH","Abronia nana var. harrisii","Harris' dwarf sand verbena","","","","",""
"ABNAN","","ABNAN","Abronia nana var. nana","dwarf sand verbena","","","","",""
"ABNE","","ABNE","Abronia neurophylla","beach sand verbena","","","","",""
"ABPO","","ABPO","Abronia pogonantha","Mojave sand verbena","","","","",""
"ABTU","","ABTU","Abronia turbinata","transmontane sand verbena","","","","",""
"ABUM","","ABUM","Abronia umbellata","pink sand verbena","","","","",""
"ABUMB","","ABUMB","Abronia umbellata ssp. breviflora","pink sand verbena","","","","","OR (E)"
"ABUMU","","ABUMU","Abronia umbellata ssp. umbellata","pink sand verbena","","","","",""
