"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","Common Name","State and Province","Category","Genus","Family","Family Symbol","Family Common Name","Order","SubClass","Class","SubDivision","Division","SuperDivision","SubKingdom","Kingdom","Duration","Growth Habit","Native Status","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status","State T/E Common Name","National Wetland Indicator Status","Regional Wetland Indicator Status","Cultivar Name","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"ABELI","","ABELI","Abelia","","Abelia","","","","","","","","","","","","","R. Br.","","","","","abelia","USA(FL, NC)","Dicot","Abelia","Caprifoliaceae","CAPRIF","Honeysuckle family","Dipsacales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","L48(I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABGR4","","ABGR4","Abelia ×grandiflora","","Abelia","×","grandiflora","","","","","","","","","","","(Rovelli ex André) Rehder","","","","chinensis × uniflora","glossy abelia","USA(FL, NC)","Dicot","Abelia","Caprifoliaceae","CAPRIF","Honeysuckle family","Dipsacales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","Perennial","Shrub","L48(I)","","","","","","","","","Edward Goucher","Spring, Summer, Fall","","None","High","No","Yes","No","Purple","Yes","Dark Green","Dense","Moderate","Medium","Brown","No","Multiple Stem","Rapid","4","4.0","No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","No","None","None","No","Low","Medium","Medium","145","Medium","Medium","5.5","6.8","1200","2700","35","60","12","Low","Tolerant","-8","Late Summer","Routinely Available","None","Fall","Fall","No","Yes","No","Yes","No","Yes","No","No","No","No","","None","","No","None","No","No","No","","No","No","Yes","","","No","No","","No","No"
"ABELM","","ABELM","Abelmoschus","","Abelmoschus","","","","","","","","","","","","","Medik.","","","","","okra","USA+(PR, VI), USA(CT, DC, FL, HI, IL, KY, LA, MD, MI, MS, NC, PW, SC, VA)","Dicot","Abelmoschus","Malvaceae","MALVAC","Mallow family","Malvales","Dilleniidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","L48(I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOMA11","","SOMA11","Sopubia mannii","","Sopubia","","mannii","","","","","","","","","","","Skan","","","","","","","Dicot","Sopubia","Scrophulariaceae","SCROPH","Figwort family","Scrophulariales","Asteridae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SORBA","","SORBA","Sorbaria","","Sorbaria","","","","","","","","","","","","","(Ser. ex DC.) A. Braun","","","","","false spiraea","CAN(MB, NB, NF, NS, ON, PE, QC, SK, YT), USA(AK, CT, IA, IN, MA, ME, MI, MN, NH, NJ, NY, OH, OR, PA, RI, TN, VA, VT, WA, WI, WV)","Dicot","Sorbaria","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","L48(I)CAN(I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOKI","","SOKI","Sorbaria kirilowii","","Sorbaria","","kirilowii","","","","","","","","","","","(Regel) Maxim.","","","","","giant false spiraea","USA(OR, WA)","Dicot","Sorbaria","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","Perennial","Shrub","L48(I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOSO2","","SOSO2","Sorbaria sorbifolia","","Sorbaria","","sorbifolia","","","","","","","","","","","(L.) A. Braun","","","","","false spiraea","CAN(MB, NB, NF, NS, ON, PE, QC, SK, YT), USA(AK, CT, IA, IN, MA, ME, MI, MN, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI, WV)","Dicot","Sorbaria","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","Perennial","Shrub","L48(I)AK(I)CAN(I)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOTO7","","SOTO7","Sorbaria tomentosa","","Sorbaria","","tomentosa","","","","","","","","","","","(Lindl.) Rehder","","","","","","","Dicot","Sorbaria","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SORBA2","","SORBA2","×Sorbaronia","×","Sorbaronia","","","","","","","","","","","","","C.K. Schneid.","","","","Aronia × Sorbus","sorbaronia","CAN(NB, NS, QC), FRA(SB)","Dicot","Sorbaronia","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","","","CAN(N)SPM(N)NA(N)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOAL12","","SOAL12","×Sorbaronia alpina","×","Sorbaronia","","alpina","","","","","","","","","","","(Willd.) C.K. Schneid.","","","","Aronia arbutifolia × Sorbus aria","","","Dicot","Sorbaronia","Rosaceae","ROSACE","Rose family","Rosales","Rosidae","Magnoliopsida","","Magnoliophyta","Spermatophyta","Tracheobionta","Plantae","Perennial","Tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
